Time_Epoch,transmitted_latitude (deg),transmitted_longitude (deg),transmitted_heading (deg),transmitted_speed (km/hr),transmitted_altitude (m),latitude_self (deg),longitude_self (deg),Self_speed (km/hr),Self_heading (degrees),Self_Altitude (m),distance (m),latency (ms),throughput (bits/sec),data_size (kb),Packet_Error_Rate,Transmission_Time (ms),Transmission_Frequency (Hz),Configuration,Channel,Bandwidth,Modulation,Tx/Rx Configuration,Device Details,Tx Power (dB),Receiver Gain (dB),Path_Loss (dB),ERP (dBm),Rx_Power (dBm),Noise_Power (dBm),SNR (dB),scenario,RSSI_antenna1 (dBm),RSSI_antenna2 (dBm)
18-05-2024 03:40,17.5382067,78.2377731,107.2451037,72.41572624,516.652,17.5385296,78.2371687,63.65457963,122.6175153,541.5927841,73.45315786,0.5576995,2510.312453,175,0.007326922,1,20,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,145.201959,-119.201959,-264.4039181,-347.2897843,82.88586619,S1,-93,-103
18-05-2024 03:40,17.5382067,78.2377731,90,62.6321338,516.652,17.5385298,78.2371683,63.85701559,71.3717614,540.5683085,73.50103245,0.4134805,3115.019934,161,0.017423736,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,145.2076184,-119.2076184,-264.4152368,-347.2897843,82.87454746,S1,-90,-108
18-05-2024 03:40,17.5381888,78.2378581,101.8920552,51.4873711,516.94,17.5385298,78.2371683,64.62715809,91.30415878,543.5377993,82.39276097,0.4321755,3239.424724,175,0.006701984,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,146.1995307,-120.1995307,-266.3990615,-347.2897843,80.89072279,S1,-100,-102
18-05-2024 03:40,17.5381704,78.2379446,102.0087818,53.30802401,517.188,17.5385301,78.2371676,68.04872664,112.175611,487.691384,91.60248115,0.4545065,3097.865487,176,0.016158577,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,147.1198944,-121.1198944,-268.2397887,-347.2897843,79.04999556,S1,-94,-108
18-05-2024 03:40,17.5381429,78.2380302,107.8102218,40.69892925,509.73,17.5385305,78.2371669,66.62244379,123.8176844,484.0572997,101.204091,0.4234915,3324.742055,176,0.012612801,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,147.985711,-121.985711,-269.971422,-347.2897843,77.31836231,S1,-90,-108
18-05-2024 03:40,17.5380977,78.2383054,98.35723169,41.13451322,509.929,17.5385305,78.2371669,64.98296416,88.28761628,482.9099976,130.0271346,0.4040265,3465.119243,175,0.013849257,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,150.1624295,-124.1624295,-274.3248589,-347.2897843,72.96492536,S1,-89,-103
18-05-2024 03:40,17.5379047,78.2392654,99.49360288,65.39195965,518.222,17.5385307,78.2371664,65.20610714,112.306849,492.7155994,233.3866443,0.3910085,3600.944736,176,0.000770344,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,155.2432696,-129.2432696,-284.4865392,-347.2897843,62.80324506,S1,-99,-105
18-05-2024 03:41,17.5378722,78.2395428,95.9729973,53.76186025,508.851,17.5385309,78.2371662,68.60921306,76.8822458,529.7331602,262.6604912,0.4562835,3085.800823,176,0.032502847,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,156.2696447,-130.2696447,-286.5392893,-347.2897843,60.75049496,S1,-93,-105
18-05-2024 03:41,17.5378645,78.2396339,89.10131638,63.59978116,509.966,17.5385309,78.2371662,63.01474536,71.72658163,534.3957947,272.196132,0.3715965,3789.05614,176,0.010841816,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,156.5793886,-130.5793886,-287.1587772,-347.2897843,60.13100707,S1,-95,-108
18-05-2024 03:41,17.5378548,78.2396916,99.54281636,55.18808633,510.634,17.5385309,78.2371661,67.98577899,111.8914636,482.8159998,278.3952006,0.4488765,3136.720234,176,0.028540881,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,156.7749845,-130.7749845,-287.549969,-347.2897843,59.73981529,S1,-98,-108
18-05-2024 03:41,17.5378471,78.2397571,96.70476144,59.79897774,517.961,17.5385309,78.2371659,69.27866804,108.5426365,545.6845719,285.3453494,0.3805505,3699.903167,176,0.01761365,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,156.9891656,-130.9891656,-287.9783312,-347.2897843,59.31145309,S1,-91,-108
18-05-2024 03:41,17.537797,78.2400689,93.91379497,71.54601582,508.837,17.5385309,78.2371659,68.67378152,77.03634591,486.3750273,318.7549471,0.3976075,3521.060342,175,0.017428662,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,157.9508883,-131.9508883,-289.9017766,-347.2897843,57.3880077,S1,-95,-105
18-05-2024 03:41,17.537622,78.2409628,94.38539778,65.88708807,509.184,17.5385308,78.2371659,66.79398973,110.7764873,531.117592,415.5023438,0.4572315,3026.913063,173,0.07694791,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,160.2532192,-134.2532192,-294.5064384,-347.2897843,52.78334593,S1,-99,-105
18-05-2024 03:41,17.537622,78.2409628,90,57.46726001,509.184,17.5385307,78.2371659,65.32467923,73.09118503,479.5763678,415.4996649,0.4075005,3180.364196,162,0.071226671,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,160.2531632,-134.2531632,-294.5063263,-347.2897843,52.78345793,S1,-98,-105
18-05-2024 03:41,17.5375381,78.2415087,101.0847209,46.66686484,518.434,17.5385307,78.2371659,62.97874967,89.0888195,541.0142304,474.0125644,0.3795355,3751.954692,178,0.005104961,1,20,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,161.3975467,-135.3975467,-296.7950934,-347.2897843,50.49469091,S1,-96,-103
18-05-2024 03:41,17.5375381,78.2415087,101.0847209,61.52156993,518.434,17.5385307,78.2371658,61.79062469,86.05829694,542.8243935,474.0228931,0.5043525,2823.422111,178,0.040108736,1,20,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,161.3977359,-135.3977359,-296.7954719,-347.2897843,50.49431238,S1,-98,-108
