time_epoch,transmitted_latitude ,transmitted_longitude ,transmitted_heading ,transmitted_altitude ,transmitted_count ,transmitted_speed (km/hr) ,transmitted_pressure,transmitted_temperature,transmitted_humidity,transmitted_condition,Self_speed (km/hr) ,Self_heading (degrees) ,Self_Altitude (m),latency (ms) ,data_size (kb) ,throughput (bits/sec) ,latitude_self ,longitude_self ,distance (m) ,Configuration ,Channel ,Bandwidth ,Modulation ,Tx/Rx Configuration ,Device Details ,Tx Power (dB) ,Receiver Gain (dBi) ,distance_km ,Path_Loss (dB) ,ERP (dBm) ,Rx_Power (dBm) ,Noise_Power (dBm) ,SNR (dB) ,Packet_Error_Rate ,scenario,RSSI_antenna1,RSSI_antenna2
22-05-2024 15:55,17.6013501,78.1270548,98,486,29,0,94877,29,39,SUNNY,67.0265302,77.44087774,514.5982852,0.2297685,162,5640.459854,17.6024266,78.1271365,119.4577565,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.119457756,149.4260367,-123.4260367,-272.8520734,-347.2897843,74.4377109,0.134755741,I2V-S1,-95,-105
22-05-2024 15:55,17.6013499,78.1270557,98,486,31,0,94877,29,39,SUNNY,67.85335884,91.65016385,460.1416723,0.2405935,175,5818.943571,17.602399,78.1271337,116.4048558,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.116404856,149.2011716,-123.2011716,-272.4023432,-347.2897843,74.8874411,0.193331192,I2V-S1,-94,-108
22-05-2024 15:55,17.6013499,78.1270557,98,486,32,0,94877,29,39,SUNNY,64.10723742,107.8408818,511.6004801,0.2540865,162,5100.625181,17.6023662,78.12713,112.7560276,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.112756028,148.924545,-122.924545,-271.84909,-347.2897843,75.4406943,0.003998498,I2V-S1,-93,-105
22-05-2024 15:55,17.6013495,78.1270567,98,486,35,0,94877,29,39,SUNNY,63.44709315,73.67292122,515.8135958,0.2666025,160,4801.155278,17.6023662,78.12713,112.7928187,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.112792819,148.9273786,-122.9273786,-271.8547572,-347.2897843,75.4350271,0.189317604,I2V-S1,-93,-108
22-05-2024 15:55,17.6013493,78.1270573,98,486,36,0,94877,29,39,SUNNY,63.80547814,119.5171308,515.179803,0.2814395,176,5002.851412,17.6023291,78.1271259,108.6844101,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.10868441,148.6050947,-122.6050947,-271.2101894,-347.2897843,76.0795949,0.032343761,I2V-S1,-93,-108
22-05-2024 15:55,17.601349,78.127058,98,486,37,0,94877,29,39,SUNNY,60.69584076,94.73624558,463.2362675,0.2820845,174,4934.691555,17.6022911,78.1271218,104.4874217,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.104487422,148.2630299,-122.2630299,-270.5260598,-347.2897843,76.7637245,0.138624529,I2V-S1,-95,-105
22-05-2024 15:55,17.601349,78.127058,98,486,38,0,94877,29,39,SUNNY,69.3625319,73.74009647,457.193234,0.2447685,160,5229.431075,17.6022911,78.1271218,104.4874217,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.104487422,148.2630299,-122.2630299,-270.5260598,-347.2897843,76.7637245,0.082471876,I2V-S1,-94,-105
22-05-2024 15:55,17.601349,78.1270587,98,486,39,0,94877,29,39,SUNNY,67.32114033,101.0514772,513.4866112,0.2313565,161,5567.165824,17.6022545,78.1271179,100.4138087,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.100413809,147.9176184,-121.9176184,-269.8352368,-347.2897843,77.4545475,0.020038248,I2V-S1,-98,-103
22-05-2024 15:55,17.601349,78.1270595,98,486,40,0,94877,29,39,SUNNY,60.54246331,106.6975008,513.58484,0.3632305,161,3545.957732,17.6022172,78.1271147,96.2672631,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.096267263,147.5513221,-121.5513221,-269.1026442,-347.2897843,78.1871401,0.013277528,I2V-S1,-97,-105
22-05-2024 15:55,17.601349,78.1270595,98,486,41,0,94877,29,39,SUNNY,64.41027052,71.75464815,509.5827689,0.2325985,161,5537.438977,17.6022172,78.1271147,96.2672631,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.096267263,147.5513221,-121.5513221,-269.1026442,-347.2897843,78.1871401,0.084252866,I2V-S1,-98,-103
22-05-2024 15:56,17.6013489,78.1270602,98,486,42,0,94877,29,39,SUNNY,64.24597593,112.7972178,514.8058225,0.2241275,175,6246.444546,17.6021791,78.1271125,92.05065632,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.092050656,147.1622874,-121.1622874,-268.3245748,-347.2897843,78.9652095,0.05668986,I2V-S1,-99,-102
22-05-2024 15:56,17.6013498,78.1270616,98,486,43,0,94877,29,39,SUNNY,63.41098164,44.40001937,462.8649077,0.2233845,175,6267.220868,17.6021414,78.1271102,87.76276205,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.087762762,146.7479553,-120.7479553,-267.4959106,-347.2897843,79.7938737,0.04475371,I2V-S1,-97,-105
22-05-2024 15:56,17.6013498,78.1270616,98,486,44,0,94877,29,39,SUNNY,63.96649838,79.91667608,508.0361827,0.2317495,162,5592.245075,17.6021414,78.1271102,87.76276205,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.087762762,146.7479553,-120.7479553,-267.4959106,-347.2897843,79.7938737,0.110981984,I2V-S1,-95,-105
22-05-2024 15:56,17.6013505,78.1270629,98,486,45,0,94877,29,39,SUNNY,61.25944504,50.26212116,458.3819801,0.2106535,174,6608.007937,17.6021042,78.1271075,83.55063137,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.083550631,146.3207443,-120.3207443,-266.6414886,-347.2897843,80.6482957,0.08956511,I2V-S1,-95,-103
22-05-2024 15:56,17.6013508,78.1270641,98,486,46,0,94877,29,39,SUNNY,65.17439994,94.13702361,457.9325574,0.2804205,174,4963.973747,17.6020663,78.1271043,79.30346744,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.079303467,145.8675932,-119.8675932,-265.7351864,-347.2897843,81.5545979,0.007706654,I2V-S1,-95,-108
22-05-2024 15:56,17.6013508,78.1270641,98,486,47,0,94877,29,39,SUNNY,69.51468592,76.91359428,506.1731925,0.2547295,162,5087.749947,17.6020663,78.1271043,79.30346744,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.079303467,145.8675932,-119.8675932,-265.7351864,-347.2897843,81.5545979,0.097034997,I2V-S1,-98,-105
22-05-2024 15:56,17.6013508,78.1270654,98,486,48,0,94877,29,39,SUNNY,67.64633402,70.69823698,510.4468415,0.2645175,162,4899.486801,17.602026,78.1271011,74.82436638,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.074824366,145.3626106,-119.3626106,-264.7252212,-347.2897843,82.5645631,0.075053728,I2V-S1,-97,-105
22-05-2024 15:56,17.6013509,78.1270667,98,486,49,0,94877,29,39,SUNNY,62.1420712,69.52432404,511.5090877,0.2491495,174,5587.006998,17.6019829,78.1270978,70.02500757,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.070025008,144.7868129,-118.7868129,-263.5736258,-347.2897843,83.7161585,0.097633116,I2V-S1,-90,-108
22-05-2024 15:56,17.601351,78.1270679,98,486,51,0,94877,29,39,SUNNY,67.67416486,69.54098872,513.221151,0.2682385,174,5189.411662,17.6019829,78.1270978,70.00806284,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.070008063,144.7847108,-118.7847108,-263.5694216,-347.2897843,83.7203627,0.057872096,I2V-S1,-92,-105
22-05-2024 15:56,17.6013511,78.1270691,98,486,52,0,94877,29,39,SUNNY,61.84428942,74.41963457,456.4934389,0.2481755,175,5641.169253,17.6019362,78.1270939,64.80993929,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.064809939,144.1145819,-118.1145819,-262.2291638,-347.2897843,85.0606205,0.062965507,I2V-S1,-91,-108
22-05-2024 15:56,17.6013511,78.1270691,98,486,53,0,94877,29,39,SUNNY,68.87334135,105.4049605,457.6252649,0.2298605,162,5638.202301,17.6018871,78.1270893,59.36100788,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.059361008,143.3517749,-117.3517749,-260.7035498,-347.2897843,86.5862345,0.037036438,I2V-S1,-92,-105
